"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","NormHP","NormAttack","NormDefense","Performance","Grade"
"Pikachu",25,"Electric","",320,35,55,40,50,50,90,0.134,0.27,0.143,0.005,"Weak"
"Pikachu Partner Pikachu",25,"Electric","",430,45,80,50,75,60,120,0.173,0.405,0.184,0.013,"Weak"
"Raichu",26,"Electric","",485,60,90,55,90,80,110,0.232,0.459,0.204,0.022,"Weak"
"Raichu Alolan Raichu",26,"Electric","Psychic",485,60,85,50,95,85,110,0.232,0.432,0.184,0.019,"Weak"
"Sandshrew",27,"Ground","",300,50,75,85,20,30,40,0.193,0.378,0.327,0.024,"Weak"
"Sandshrew Alolan Sandshrew",27,"Ice","Steel",300,50,75,90,10,35,40,0.193,0.378,0.347,0.026,"Weak"
"Sandslash",28,"Ground","",450,75,100,110,45,55,65,0.291,0.514,0.429,0.064,"Weak"
"Sandslash Alolan Sandslash",28,"Ice","Steel",450,75,100,120,25,65,65,0.291,0.514,0.469,0.07,"Weak"
"Nidoran♀",29,"Poison","",275,55,47,52,40,40,41,0.213,0.227,0.192,0.009,"Weak"
"Nidorina",30,"Poison","",365,70,62,67,55,55,56,0.272,0.308,0.253,0.021,"Weak"
"Nidoqueen",31,"Poison","Ground",505,90,92,87,75,85,76,0.35,0.47,0.335,0.055,"Weak"
"Nidoran♂",32,"Poison","",273,46,57,40,40,40,50,0.177,0.281,0.143,0.007,"Weak"
"Nidorino",33,"Poison","",365,61,72,57,55,55,65,0.236,0.362,0.212,0.018,"Weak"
"Nidoking",34,"Poison","Ground",505,81,102,77,85,75,85,0.315,0.524,0.294,0.049,"Weak"
"Clefairy",35,"Fairy","",323,70,45,48,60,65,35,0.272,0.216,0.176,0.011,"Weak"
"Clefable",36,"Fairy","",483,95,70,73,95,90,60,0.37,0.351,0.278,0.036,"Weak"
"Vulpix",37,"Fire","",299,38,41,40,50,65,65,0.146,0.195,0.143,0.004,"Weak"
"Vulpix Alolan Vulpix",37,"Ice","",299,38,41,40,50,65,65,0.146,0.195,0.143,0.004,"Weak"
"Ninetales",38,"Fire","",505,73,76,75,81,100,100,0.283,0.384,0.286,0.031,"Weak"
"Ninetales Alolan Ninetales",38,"Ice","Fairy",505,73,67,75,81,100,109,0.283,0.335,0.286,0.027,"Weak"
"Jigglypuff",39,"Normal","Fairy",270,115,45,20,45,25,20,0.449,0.216,0.061,0.006,"Weak"
"Wigglytuff",40,"Normal","Fairy",435,140,70,45,85,50,45,0.547,0.351,0.163,0.031,"Weak"
"Zubat",41,"Poison","Flying",245,40,45,35,30,40,55,0.154,0.216,0.122,0.004,"Weak"
"Golbat",42,"Poison","Flying",455,75,80,70,65,75,90,0.291,0.405,0.265,0.031,"Weak"
"Oddish",43,"Grass","Poison",320,45,50,55,75,65,30,0.173,0.243,0.204,0.009,"Weak"
"Gloom",44,"Grass","Poison",395,60,65,70,85,75,40,0.232,0.324,0.265,0.02,"Weak"
"Vileplume",45,"Grass","Poison",490,75,80,85,110,90,50,0.291,0.405,0.327,0.039,"Weak"
"Paras",46,"Bug","Grass",285,35,70,55,45,55,25,0.134,0.351,0.204,0.01,"Weak"
"Parasect",47,"Bug","Grass",405,60,95,80,60,80,30,0.232,0.486,0.306,0.035,"Weak"
"Venonat",48,"Bug","Poison",305,60,55,50,40,55,45,0.232,0.27,0.184,0.012,"Weak"
"Venomoth",49,"Bug","Poison",450,70,65,60,90,75,90,0.272,0.324,0.224,0.02,"Weak"
"Diglett",50,"Ground","",265,10,55,25,35,45,95,0.035,0.27,0.082,0.001,"Weak"
"Diglett Alolan Diglett",50,"Ground","Steel",265,10,55,30,35,45,90,0.035,0.27,0.102,0.001,"Weak"
"Dugtrio",51,"Ground","",425,35,100,50,50,70,120,0.134,0.514,0.184,0.013,"Weak"
"Dugtrio Alolan Dugtrio",51,"Ground","Steel",425,35,100,60,50,70,110,0.134,0.514,0.224,0.016,"Weak"
"Meowth",52,"Normal","",290,40,45,35,40,40,90,0.154,0.216,0.122,0.004,"Weak"
"Meowth Alolan Meowth",52,"Dark","",290,40,35,35,50,40,90,0.154,0.162,0.122,0.003,"Weak"
"Meowth Galarian Meowth",52,"Steel","",290,50,65,55,40,40,40,0.193,0.324,0.204,0.013,"Weak"
"Persian",53,"Normal","",440,65,70,60,65,65,115,0.252,0.351,0.224,0.02,"Weak"
"Persian Alolan Persian",53,"Dark","",440,65,60,60,75,65,115,0.252,0.297,0.224,0.017,"Weak"
"Psyduck",54,"Water","",320,50,52,48,65,50,55,0.193,0.254,0.176,0.009,"Weak"
"Golduck",55,"Water","",500,80,82,78,95,80,85,0.311,0.416,0.298,0.039,"Weak"
"Mankey",56,"Fighting","",305,40,80,35,35,45,70,0.154,0.405,0.122,0.008,"Weak"
"Primeape",57,"Fighting","",455,65,105,60,60,70,95,0.252,0.541,0.224,0.031,"Weak"
"Growlithe",58,"Fire","",350,55,70,45,70,50,60,0.213,0.351,0.163,0.012,"Weak"
"Growlithe Hisuian Growlithe",58,"Fire","Rock",350,60,75,45,65,50,55,0.232,0.378,0.163,0.014,"Weak"
"Arcanine",59,"Fire","",555,90,110,80,100,80,95,0.35,0.568,0.306,0.061,"Weak"
"Arcanine Hisuian Arcanine",59,"Fire","Rock",555,95,115,80,95,80,90,0.37,0.595,0.306,0.068,"Weak"
"Poliwag",60,"Water","",300,40,50,40,40,40,90,0.154,0.243,0.143,0.006,"Weak"
"Poliwhirl",61,"Water","",385,65,65,65,50,50,90,0.252,0.324,0.245,0.02,"Weak"
"Poliwrath",62,"Water","Fighting",510,90,95,95,70,90,70,0.35,0.486,0.367,0.063,"Weak"
"Abra",63,"Psychic","",310,25,20,15,105,55,90,0.094,0.081,0.041,0.001,"Weak"
"Kadabra",64,"Psychic","",400,40,35,30,120,70,105,0.154,0.162,0.102,0.003,"Weak"
"Alakazam",65,"Psychic","",500,55,50,45,135,95,120,0.213,0.243,0.163,0.009,"Weak"
"Alakazam Mega Alakazam",65,"Psychic","",600,55,50,65,175,105,150,0.213,0.243,0.245,0.013,"Weak"
"Machop",66,"Fighting","",305,70,80,50,35,35,35,0.272,0.405,0.184,0.02,"Weak"
"Machoke",67,"Fighting","",405,80,100,70,50,60,45,0.311,0.514,0.265,0.043,"Weak"
"Machamp",68,"Fighting","",505,90,130,80,65,85,55,0.35,0.676,0.306,0.073,"Weak"
"Bellsprout",69,"Grass","Poison",300,50,75,35,70,30,40,0.193,0.378,0.122,0.009,"Weak"
"Weepinbell",70,"Grass","Poison",390,65,90,50,85,45,55,0.252,0.459,0.184,0.021,"Weak"
"Victreebel",71,"Grass","Poison",490,80,105,65,100,70,70,0.311,0.541,0.245,0.041,"Weak"
"Tentacool",72,"Water","Poison",335,40,40,35,50,100,70,0.154,0.189,0.122,0.004,"Weak"
"Tentacruel",73,"Water","Poison",515,80,70,65,80,120,100,0.311,0.351,0.245,0.027,"Weak"
"Geodude",74,"Rock","Ground",300,40,80,100,30,30,20,0.154,0.405,0.388,0.024,"Weak"
"Geodude Alolan Geodude",74,"Rock","Electric",300,40,80,100,30,30,20,0.154,0.405,0.388,0.024,"Weak"
"Graveler",75,"Rock","Ground",390,55,95,115,45,45,35,0.213,0.486,0.449,0.047,"Weak"
"Graveler Alolan Graveler",75,"Rock","Electric",390,55,95,115,45,45,35,0.213,0.486,0.449,0.047,"Weak"
"Golem",76,"Rock","Ground",495,80,120,130,55,65,45,0.311,0.622,0.51,0.099,"Weak"
"Golem Alolan Golem",76,"Rock","Electric",495,80,120,130,55,65,45,0.311,0.622,0.51,0.099,"Weak"
"Ponyta",77,"Fire","",410,50,85,55,65,65,90,0.193,0.432,0.204,0.017,"Weak"
"Ponyta Galarian Ponyta",77,"Psychic","",410,50,85,55,65,65,90,0.193,0.432,0.204,0.017,"Weak"
"Rapidash",78,"Fire","",500,65,100,70,80,80,105,0.252,0.514,0.265,0.035,"Weak"
"Rapidash Galarian Rapidash",78,"Psychic","Fairy",500,65,100,70,80,80,105,0.252,0.514,0.265,0.035,"Weak"
"Slowpoke",79,"Water","Psychic",315,90,65,65,40,40,15,0.35,0.324,0.245,0.028,"Weak"
"Slowpoke Galarian Slowpoke",79,"Psychic","",315,90,65,65,40,40,15,0.35,0.324,0.245,0.028,"Weak"
"Slowbro",80,"Water","Psychic",490,95,75,110,100,80,30,0.37,0.378,0.429,0.06,"Weak"
"Slowbro Mega Slowbro",80,"Water","Psychic",590,95,75,180,130,80,30,0.37,0.378,0.714,0.1,"Weak"
"Slowbro Galarian Slowbro",80,"Poison","Psychic",490,95,100,95,100,70,30,0.37,0.514,0.367,0.07,"Weak"
"Magnemite",81,"Electric","Steel",325,25,35,70,95,55,45,0.094,0.162,0.265,0.004,"Weak"
"Magneton",82,"Electric","Steel",465,50,60,95,120,70,70,0.193,0.297,0.367,0.021,"Weak"
"Farfetch'd",83,"Normal","Flying",377,52,90,55,58,62,60,0.201,0.459,0.204,0.019,"Weak"
"Farfetch'd Galarian Farfetch'd",83,"Fighting","",377,52,95,55,58,62,55,0.201,0.486,0.204,0.02,"Weak"
"Doduo",84,"Normal","Flying",310,35,85,45,35,35,75,0.134,0.432,0.163,0.01,"Weak"
"Dodrio",85,"Normal","Flying",470,60,110,70,60,60,110,0.232,0.568,0.265,0.035,"Weak"
"Seel",86,"Water","",325,65,45,55,45,70,45,0.252,0.216,0.204,0.011,"Weak"
"Dewgong",87,"Water","Ice",475,90,70,80,70,95,70,0.35,0.351,0.306,0.038,"Weak"
"Grimer",88,"Poison","",325,80,80,50,40,50,25,0.311,0.405,0.184,0.023,"Weak"
"Grimer Alolan Grimer",88,"Poison","Dark",325,80,80,50,40,50,25,0.311,0.405,0.184,0.023,"Weak"
"Muk",89,"Poison","",500,105,105,75,65,100,50,0.409,0.541,0.286,0.063,"Weak"
"Muk Alolan Muk",89,"Poison","Dark",500,105,105,75,65,100,50,0.409,0.541,0.286,0.063,"Weak"
"Shellder",90,"Water","",305,30,65,100,45,25,40,0.114,0.324,0.388,0.015,"Weak"
"Cloyster",91,"Water","Ice",525,50,95,180,85,45,70,0.193,0.486,0.714,0.067,"Weak"
"Gastly",92,"Ghost","Poison",310,30,35,30,100,35,80,0.114,0.162,0.102,0.002,"Weak"
"Haunter",93,"Ghost","Poison",405,45,50,45,115,55,95,0.173,0.243,0.163,0.007,"Weak"
"Gengar",94,"Ghost","Poison",500,60,65,60,130,75,110,0.232,0.324,0.224,0.017,"Weak"
"Gengar Mega Gengar",94,"Ghost","Poison",600,60,65,80,170,95,130,0.232,0.324,0.306,0.023,"Weak"
"Onix",95,"Rock","Ground",385,35,45,160,30,45,70,0.134,0.216,0.633,0.019,"Weak"
"Drowzee",96,"Psychic","",328,60,48,45,43,90,42,0.232,0.232,0.163,0.009,"Weak"
"Hypno",97,"Psychic","",483,85,73,70,73,115,67,0.331,0.368,0.265,0.032,"Weak"
"Krabby",98,"Water","",325,30,105,90,25,25,50,0.114,0.541,0.347,0.022,"Weak"
"Kingler",99,"Water","",475,55,130,115,50,50,75,0.213,0.676,0.449,0.065,"Weak"
"Voltorb",100,"Electric","",330,40,30,50,55,55,100,0.154,0.135,0.184,0.004,"Weak"
"Voltorb Hisuian Voltorb",100,"Electric","Grass",330,40,30,50,55,55,100,0.154,0.135,0.184,0.004,"Weak"
"Electrode",101,"Electric","",490,60,50,70,80,80,150,0.232,0.243,0.265,0.015,"Weak"
"Electrode Hisuian Electrode",101,"Electric","Grass",490,60,50,70,80,80,150,0.232,0.243,0.265,0.015,"Weak"
"Exeggcute",102,"Grass","Psychic",325,60,40,80,60,45,40,0.232,0.189,0.306,0.014,"Weak"
"Exeggutor",103,"Grass","Psychic",530,95,95,85,125,75,55,0.37,0.486,0.327,0.059,"Weak"
"Exeggutor Alolan Exeggutor",103,"Grass","Dragon",530,95,105,85,125,75,45,0.37,0.541,0.327,0.066,"Weak"
"Cubone",104,"Ground","",320,50,50,95,40,50,35,0.193,0.243,0.367,0.017,"Weak"
"Marowak",105,"Ground","",425,60,80,110,50,80,45,0.232,0.405,0.429,0.041,"Weak"
"Marowak Alolan Marowak",105,"Fire","Ghost",425,60,80,110,50,80,45,0.232,0.405,0.429,0.041,"Weak"
"Hitmonlee",106,"Fighting","",455,50,120,53,35,110,87,0.193,0.622,0.196,0.024,"Weak"
"Hitmonchan",107,"Fighting","",455,50,105,79,35,110,76,0.193,0.541,0.302,0.032,"Weak"
"Lickitung",108,"Normal","",385,90,55,75,60,75,30,0.35,0.27,0.286,0.027,"Weak"
"Koffing",109,"Poison","",340,40,65,95,60,45,35,0.154,0.324,0.367,0.019,"Weak"
"Weezing",110,"Poison","",490,65,90,120,85,70,60,0.252,0.459,0.469,0.054,"Weak"
"Weezing Galarian Weezing",110,"Poison","Fairy",490,65,90,120,85,70,60,0.252,0.459,0.469,0.054,"Weak"
"Rhyhorn",111,"Ground","Rock",345,80,85,95,30,30,25,0.311,0.432,0.367,0.05,"Weak"
"Rhydon",112,"Ground","Rock",485,105,130,120,45,45,40,0.409,0.676,0.469,0.13,"Weak"
"Chansey",113,"Normal","",450,250,5,5,35,105,50,0.98,0,0,0,"Strong"
"Tangela",114,"Grass","",435,65,55,115,100,40,60,0.252,0.27,0.449,0.031,"Weak"
"Kangaskhan",115,"Normal","",490,105,95,80,40,80,90,0.409,0.486,0.306,0.061,"Weak"
"Kangaskhan Mega Kangaskhan",115,"Normal","",590,105,125,100,60,100,100,0.409,0.649,0.388,0.103,"Weak"
"Horsea",116,"Water","",295,30,40,70,70,25,60,0.114,0.189,0.265,0.006,"Weak"
"Seadra",117,"Water","",440,55,65,95,95,45,85,0.213,0.324,0.367,0.026,"Weak"
"Goldeen",118,"Water","",320,45,67,60,35,50,63,0.173,0.335,0.224,0.013,"Weak"
"Seaking",119,"Water","",450,80,92,65,65,80,68,0.311,0.47,0.245,0.036,"Weak"
"Staryu",120,"Water","",340,30,45,55,70,55,85,0.114,0.216,0.204,0.005,"Weak"
"Starmie",121,"Water","Psychic",520,60,75,85,100,85,115,0.232,0.378,0.327,0.029,"Weak"
"Mr. Mime",122,"Psychic","Fairy",460,40,45,65,100,120,90,0.154,0.216,0.245,0.008,"Weak"
"Mr. Mime Galarian Mr. Mime",122,"Ice","Psychic",460,50,65,65,90,90,100,0.193,0.324,0.245,0.016,"Weak"
"Scyther",123,"Bug","Flying",500,70,110,80,55,80,105,0.272,0.568,0.306,0.047,"Weak"
"Jynx",124,"Ice","Psychic",455,65,50,35,115,95,95,0.252,0.243,0.122,0.008,"Weak"
"Electabuzz",125,"Electric","",490,65,83,57,95,85,105,0.252,0.422,0.212,0.023,"Weak"
"Magmar",126,"Fire","",495,65,95,57,100,85,93,0.252,0.486,0.212,0.026,"Weak"
"Pinsir",127,"Bug","",500,65,125,100,55,70,85,0.252,0.649,0.388,0.064,"Weak"
"Pinsir Mega Pinsir",127,"Bug","Flying",600,65,155,120,65,90,105,0.252,0.811,0.469,0.096,"Weak"
"Tauros",128,"Normal","",490,75,100,95,40,70,110,0.291,0.514,0.367,0.055,"Weak"
"Tauros Combat Breed",128,"Fighting","",490,75,110,105,30,70,100,0.291,0.568,0.408,0.068,"Weak"
"Tauros Blaze Breed",128,"Fighting","Fire",490,75,110,105,30,70,100,0.291,0.568,0.408,0.068,"Weak"
"Tauros Aqua Breed",128,"Fighting","Water",490,75,110,105,30,70,100,0.291,0.568,0.408,0.068,"Weak"
"Magikarp",129,"Water","",200,20,10,55,15,20,80,0.075,0.027,0.204,0.001,"Weak"
"Gyarados",130,"Water","Flying",540,95,125,79,60,100,81,0.37,0.649,0.302,0.073,"Weak"
"Gyarados Mega Gyarados",130,"Water","Dark",640,95,155,109,70,130,81,0.37,0.811,0.424,0.127,"Weak"
"Lapras",131,"Water","Ice",535,130,85,80,85,95,60,0.508,0.432,0.306,0.067,"Weak"
"Ditto",132,"Normal","",288,48,48,48,48,48,48,0.185,0.232,0.176,0.008,"Weak"
"Eevee",133,"Normal","",325,55,55,50,45,65,55,0.213,0.27,0.184,0.011,"Weak"
"Eevee Partner Eevee",133,"Normal","",435,65,75,70,65,85,75,0.252,0.378,0.265,0.025,"Weak"
"Vaporeon",134,"Water","",525,130,65,60,110,95,65,0.508,0.324,0.224,0.037,"Weak"
"Jolteon",135,"Electric","",525,65,65,60,110,95,130,0.252,0.324,0.224,0.018,"Weak"
"Flareon",136,"Fire","",525,65,130,60,95,110,65,0.252,0.676,0.224,0.038,"Weak"
"Porygon",137,"Normal","",395,65,60,70,85,75,40,0.252,0.297,0.265,0.02,"Weak"
"Omanyte",138,"Rock","Water",355,35,40,100,90,55,35,0.134,0.189,0.388,0.01,"Weak"
"Omastar",139,"Rock","Water",495,70,60,125,115,70,55,0.272,0.297,0.49,0.04,"Weak"
"Kabuto",140,"Rock","Water",355,30,80,90,55,45,55,0.114,0.405,0.347,0.016,"Weak"
"Kabutops",141,"Rock","Water",495,60,115,105,65,70,80,0.232,0.595,0.408,0.057,"Weak"
"Aerodactyl",142,"Rock","Flying",515,80,105,65,60,75,130,0.311,0.541,0.245,0.041,"Weak"
"Aerodactyl Mega Aerodactyl",142,"Rock","Flying",615,80,135,85,70,95,150,0.311,0.703,0.327,0.072,"Weak"
"Snorlax",143,"Normal","",540,160,110,65,65,110,30,0.626,0.568,0.245,0.087,"Weak"
"Articuno",144,"Ice","Flying",580,90,85,100,95,125,85,0.35,0.432,0.388,0.059,"Weak"
"Articuno Galarian Articuno",144,"Psychic","Flying",580,90,85,85,125,100,95,0.35,0.432,0.327,0.05,"Weak"
"Zapdos",145,"Electric","Flying",580,90,90,85,125,90,100,0.35,0.459,0.327,0.053,"Weak"
"Zapdos Galarian Zapdos",145,"Fighting","Flying",580,90,125,90,85,90,100,0.35,0.649,0.347,0.079,"Weak"
"Moltres",146,"Fire","Flying",580,90,100,90,125,85,90,0.35,0.514,0.347,0.063,"Weak"
"Moltres Galarian Moltres",146,"Dark","Flying",580,90,85,90,100,125,90,0.35,0.432,0.347,0.053,"Weak"
"Dratini",147,"Dragon","",300,41,64,45,50,50,50,0.157,0.319,0.163,0.008,"Weak"
"Dragonair",148,"Dragon","",420,61,84,65,70,70,70,0.236,0.427,0.245,0.025,"Weak"
"Dragonite",149,"Dragon","Flying",600,91,134,95,100,100,80,0.354,0.697,0.367,0.091,"Weak"
"Mewtwo",150,"Psychic","",680,106,110,90,154,90,130,0.413,0.568,0.347,0.082,"Weak"
"Mewtwo Mega Mewtwo X",150,"Psychic","Fighting",780,106,190,100,154,100,130,0.413,1,0.388,0.16,"Normal"
"Mewtwo Mega Mewtwo Y",150,"Psychic","",780,106,150,70,194,120,140,0.413,0.784,0.265,0.086,"Weak"
"Mew",151,"Psychic","",600,100,100,100,100,100,100,0.39,0.514,0.388,0.078,"Weak"
"Chikorita",152,"Grass","",318,45,49,65,49,65,45,0.173,0.238,0.245,0.01,"Weak"
"Bayleef",153,"Grass","",405,60,62,80,63,80,60,0.232,0.308,0.306,0.022,"Weak"
"Meganium",154,"Grass","",525,80,82,100,83,100,80,0.311,0.416,0.388,0.05,"Weak"
"Cyndaquil",155,"Fire","",309,39,52,43,60,50,65,0.15,0.254,0.155,0.006,"Weak"
"Quilava",156,"Fire","",405,58,64,58,80,65,80,0.224,0.319,0.216,0.016,"Weak"
"Typhlosion",157,"Fire","",534,78,84,78,109,85,100,0.303,0.427,0.298,0.039,"Weak"
"Typhlosion Hisuian Typhlosion",157,"Fire","Ghost",534,73,84,78,119,85,95,0.283,0.427,0.298,0.036,"Weak"
"Totodile",158,"Water","",314,50,65,64,44,48,43,0.193,0.324,0.241,0.015,"Weak"
"Croconaw",159,"Water","",405,65,80,80,59,63,58,0.252,0.405,0.306,0.031,"Weak"
"Feraligatr",160,"Water","",530,85,105,100,79,83,78,0.331,0.541,0.388,0.07,"Weak"
"Sentret",161,"Normal","",215,35,46,34,35,45,20,0.134,0.222,0.118,0.004,"Weak"
"Furret",162,"Normal","",415,85,76,64,45,55,90,0.331,0.384,0.241,0.031,"Weak"
"Hoothoot",163,"Normal","Flying",262,60,30,30,36,56,50,0.232,0.135,0.102,0.003,"Weak"
"Noctowl",164,"Normal","Flying",452,100,50,50,86,96,70,0.39,0.243,0.184,0.018,"Weak"
"Ledyba",165,"Bug","Flying",265,40,20,30,40,80,55,0.154,0.081,0.102,0.001,"Weak"
"Ledian",166,"Bug","Flying",390,55,35,50,55,110,85,0.213,0.162,0.184,0.007,"Weak"
"Spinarak",167,"Bug","Poison",250,40,60,40,40,40,30,0.154,0.297,0.143,0.007,"Weak"
"Ariados",168,"Bug","Poison",400,70,90,70,60,70,40,0.272,0.459,0.265,0.033,"Weak"
"Crobat",169,"Poison","Flying",535,85,90,80,70,80,130,0.331,0.459,0.306,0.047,"Weak"
"Chinchou",170,"Water","Electric",330,75,38,38,56,56,67,0.291,0.178,0.135,0.007,"Weak"
"Lanturn",171,"Water","Electric",460,125,58,58,76,76,67,0.488,0.286,0.216,0.03,"Weak"
"Pichu",172,"Electric","",205,20,40,15,35,35,60,0.075,0.189,0.041,0.001,"Weak"
"Cleffa",173,"Fairy","",218,50,25,28,45,55,15,0.193,0.108,0.094,0.002,"Weak"
"Igglybuff",174,"Normal","Fairy",210,90,30,15,40,20,15,0.35,0.135,0.041,0.002,"Weak"
"Togepi",175,"Fairy","",245,35,20,65,40,65,20,0.134,0.081,0.245,0.003,"Weak"
"Togetic",176,"Fairy","Flying",405,55,40,85,80,105,40,0.213,0.189,0.327,0.013,"Weak"
"Natu",177,"Psychic","Flying",320,40,50,45,70,45,70,0.154,0.243,0.163,0.006,"Weak"
"Xatu",178,"Psychic","Flying",470,65,75,70,95,70,95,0.252,0.378,0.265,0.025,"Weak"
"Mareep",179,"Electric","",280,55,40,40,65,45,35,0.213,0.189,0.143,0.006,"Weak"
"Flaaffy",180,"Electric","",365,70,55,55,80,60,45,0.272,0.27,0.204,0.015,"Weak"
"Ampharos",181,"Electric","",510,90,75,85,115,90,55,0.35,0.378,0.327,0.043,"Weak"
"Ampharos Mega Ampharos",181,"Electric","Dragon",610,90,95,105,165,110,45,0.35,0.486,0.408,0.07,"Weak"
"Bellossom",182,"Grass","",490,75,80,95,90,100,50,0.291,0.405,0.367,0.043,"Weak"
"Marill",183,"Water","Fairy",250,70,20,50,20,50,40,0.272,0.081,0.184,0.004,"Weak"
"Azumarill",184,"Water","Fairy",420,100,50,80,60,80,50,0.39,0.243,0.306,0.029,"Weak"
"Sudowoodo",185,"Rock","",410,70,100,115,30,65,30,0.272,0.514,0.449,0.063,"Weak"
"Politoed",186,"Water","",500,90,75,75,90,100,70,0.35,0.378,0.286,0.038,"Weak"
"Hoppip",187,"Grass","Flying",250,35,35,40,35,55,50,0.134,0.162,0.143,0.003,"Weak"
"Skiploom",188,"Grass","Flying",340,55,45,50,45,65,80,0.213,0.216,0.184,0.009,"Weak"
"Jumpluff",189,"Grass","Flying",460,75,55,70,55,95,110,0.291,0.27,0.265,0.021,"Weak"
"Aipom",190,"Normal","",360,55,70,55,40,55,85,0.213,0.351,0.204,0.015,"Weak"
"Sunkern",191,"Grass","",180,30,30,30,30,30,30,0.114,0.135,0.102,0.002,"Weak"
"Sunflora",192,"Grass","",425,75,75,55,105,85,30,0.291,0.378,0.204,0.023,"Weak"
"Yanma",193,"Bug","Flying",390,65,65,45,75,45,95,0.252,0.324,0.163,0.014,"Weak"
"Wooper",194,"Water","Ground",210,55,45,45,25,25,15,0.213,0.216,0.163,0.008,"Weak"
"Wooper Paldean Wooper",194,"Poison","Ground",210,55,45,45,25,25,15,0.213,0.216,0.163,0.008,"Weak"
"Quagsire",195,"Water","Ground",430,95,85,85,65,65,35,0.37,0.432,0.327,0.052,"Weak"
"Espeon",196,"Psychic","",525,65,65,60,130,95,110,0.252,0.324,0.224,0.018,"Weak"
"Umbreon",197,"Dark","",525,95,65,110,60,130,65,0.37,0.324,0.429,0.052,"Weak"
"Murkrow",198,"Dark","Flying",405,60,85,42,85,42,91,0.232,0.432,0.151,0.015,"Weak"
"Slowking",199,"Water","Psychic",490,95,75,80,100,110,30,0.37,0.378,0.306,0.043,"Weak"
